gvkey,roa,roe,ebit_margin,gross_margin,fcf_margin,current_ratio,debt_to_equity,financial_leverage,conm,roa_trend,cluster,cluster_name,proximity_score,profitability_score,liquidity_score,leverage_score,cashflow_score,structure_score,relative_score,overall_score
103200,16.704980842911876,15.919873484449129,12.368794326241135,36.9645390070922,8.709219858156029,2.2155172413793105,0.027411702688455455,1.3758566157090142,FUCHS SE,-0.8044010982653264,5,Strong Performers,34.70580931454196,35.70953016789093,87.60560699721607,91.67062900913507,98.72788559573453,91.88511479982563,50.32542228639067,30.191292660308477
358679,13.093188579938971,18.937735796540007,19.730516742922042,40.49646271880103,8.384887121496284,1.3516143106457241,0.1023195674121907,1.8247191949453827,SCHOTT PHARMA AG & CO KGAA,-0.591496557288598,5,Strong Performers,46.53685388587489,48.02596525145641,83.14575471886101,92.76338345957417,97.62062469187917,95.1041649768626,51.560931277324606,37.49627295059866
326577,10.676537089324666,18.82575419160785,18.58815592442331,61.8698978075796,13.65531465037034,1.8154504993652785,1.4719467524345573,3.4413356893031684,DERMAPHARM HOLDING,-1.0308591948829207,5,Strong Performers,57.0682878745996,64.59696058590305,98.56747477208683,86.8013322586998,85.28280697079764,92.88402362058822,57.57290813441823,44.426840492890435
204820,10.599350681969668,16.917223407934994,11.090111990728388,79.87793028272404,14.591876034620135,0.6443911403378236,0.5195994799422998,2.634707289594064,FIELMANN GROUP AG,-2.24750460233874,5,Strong Performers,30.496107171346114,49.897365204825824,64.14645348809665,99.09342057371275,82.54998802413971,98.81315718229092,50.449233738405006,32.08725796687489
100083,10.42195065713627,10.761061946902654,13.766497461928934,61.6751269035533,8.060913705583756,1.7426948051948052,0.0,1.535221238938053,BEIERSDORF AG,-0.5141279617984581,5,Strong Performers,69.97508301883911,71.77003554666688,95.97164766880064,91.27397288377753,96.52698816042059,93.01534012915658,49.526732075123626,51.47143760524678
132740,10.346031635182792,10.337417968523143,19.81277164827817,54.79772651287195,2.3269809428284853,1.9030314807617568,0.26685637958069575,1.663220860677159,INFINEON TECHNOLOGIES AG,0.2870969951901389,5,Strong Performers,55.84325826785875,66.87304330495559,98.2457743127908,95.20959047093356,79.0772777047713,93.93318181382035,51.70705119394832,45.23287101522797
234919,10.285252060344996,31.04969341462203,14.894720782288836,29.148085206077525,12.965382138084774,0.963440304797599,0.09418407976185954,3.960516360470789,CTS EVENTIM AG & CO KGAA,-0.6272602618112316,5,Strong Performers,42.93056145419348,47.1823517196235,72.11078778685602,92.64407534972554,87.35368515999428,89.257335336936,52.72724522570726,35.87310246057465
102250,9.53941932957754,14.959508665902344,8.37686939228746,70.28088506410788,12.929692950350665,1.5385203104977778,0.7059486801422873,2.650662381602442,HUGO BOSS AG,-2.0756674726259097,5,Strong Performers,40.99463783618958,64.20405721993627,89.04632427168146,97.98339760035417,87.4621661374673,98.69228708397799,49.81878054281187,39.03700633849851
102926,9.463867146995709,8.740386542627023,15.106153541513084,69.20539320588705,7.063045589122931,2.972824669346672,0.26649374879412263,1.6710391494139045,KWS SAAT SE & CO KGAA,-0.05421685983395518,5,Strong Performers,53.70115176604131,65.89893479218908,66.35682091056717,95.20412884261516,93.23487557168202,93.98953669308743,52.63678006564922,44.180660549115856
101937,9.317683459113244,12.006314886266532,10.603255679772431,51.98970384003828,6.0304099007731065,1.7026958942168635,0.02767517927049115,1.7923590157963738,DMG MORI AG,0.00159940605292435,5,Strong Performers,72.33693084286678,82.53337255244074,94.57377857427221,91.67444995172454,89.94622819760541,94.86836592856307,48.46880776877197,54.60889184280732
